mmsi,bandera,año_construccion,capacidad_dwt,longitud_m,calado_m
100035,Grecia,2006,81278,363.33132487528127,9.325802918715725
100036,Singapur,1997,142480,379.35205081630056,13.686871587659036
100037,Panamá,1992,123558,285.5137585309812,14.78453023183658
100038,Grecia,1990,74956,389.42842480718656,15.100256241628157
100039,Singapur,2018,12279,297.9113827404248,11.757039558834379
100040,Singapur,2020,86899,381.0114634647525,8.396630860187134
100041,Liberia,1996,140514,356.72328508937477,6.1922314976795825
100042,Singapur,2002,26834,111.8149240917611,11.486819162041643
100043,Panamá,2010,28879,221.5995818245623,9.254305317962455
100044,Panamá,2020,112828,220.8045182763425,17.087010227212904
100045,Singapur,2015,59284,197.64556842528637,17.764110201751333
100046,Grecia,2019,110479,399.660238631549,5.254772437202263
100047,Grecia,2022,126442,144.3909773612409,16.98340133245181
100048,Grecia,2023,23029,172.17933700988968,11.481324760764966
100049,Malta,1991,44591,128.61544696544163,14.210630654920989
100050,Malta,1994,141387,271.6105644186747,7.348624640680275
100051,Singapur,1995,45694,350.3907602674857,16.33978117462259
100052,Panamá,2017,14213,167.09826294543592,6.937228005316544
100053,Panamá,2008,61895,269.149607156668,14.631985644418945
100054,Singapur,2012,15529,158.72612681532877,14.783083973183707
100055,Liberia,2022,25897,118.75053687427356,5.425469665732072
100056,Panamá,2017,67158,136.27338616085046,12.64096027937793
100057,Singapur,2003,10974,226.46474060030943,13.367865235145386
100058,Panamá,1995,132630,161.75713929980648,14.982479984977786
100059,Malta,2008,50834,127.16470149826225,13.60214911207307
100060,Singapur,1991,48824,223.80578711073485,5.685295237846944
100061,Liberia,1996,81158,298.97136554603264,11.240771235532439
100062,Singapur,2019,133725,272.124062853665,15.695696625010823
100063,Grecia,2023,68508,253.52618394649065,12.799009950256892
100064,Liberia,1999,116909,239.37591233229526,6.978794362014094
100065,Liberia,1990,106174,251.49219434433124,7.210261157545942
100066,Panamá,2021,53191,363.14691295346415,9.068333342594766
100067,Liberia,2016,133681,109.31817407236719,11.64490361746268
100068,Panamá,2002,143789,240.11077763980393,9.28518993328494
100069,Singapur,2023,132457,363.0656341716469,7.49518107633639
100070,Malta,2002,79991,256.6163745939533,12.940632940075547
100071,Grecia,2015,73550,166.88082722211638,15.666426616940837
100072,Liberia,2000,82375,170.73397955727927,12.973867960637214
100073,Malta,1990,137807,291.20811097788,6.934075169807116
100074,Malta,1998,32316,337.480679717548,5.545695861617951
100075,Panamá,2013,32560,356.08688324793496,12.687967658003949
100076,Panamá,2023,32716,252.2918186929073,17.722906329122456
100077,Grecia,2008,60373,346.88497040922067,7.460056988653901
100078,Singapur,1996,7414,176.1796691041073,12.910178021663619
100079,Panamá,2012,88281,271.4093357203798,11.133476735123162
100080,Singapur,1994,106836,336.72592927203635,15.841005747642631
100081,Singapur,2010,56474,373.54032151024575,5.7702993670999785
100082,Malta,2006,140239,335.2928759045016,10.688866399170168
100083,Liberia,1991,51995,360.5855902042926,8.899718081169977
100084,Malta,2017,68197,366.212256762103,8.1739051821543
100085,Grecia,1994,113969,180.9332180689624,14.623513168717523
100086,Liberia,2000,66580,197.03197235078486,7.645935676834107
100087,Malta,1997,46933,340.50724046433714,9.720728921790148
100088,Grecia,2001,7919,379.07496535751585,16.597617275474736
100089,Liberia,2003,97602,343.4785554004288,15.006649342921236
100090,Singapur,1992,136840,166.67075548835027,13.805746692768501
100091,Grecia,2004,87455,397.6193376232072,9.772262131529317
100092,Singapur,2021,47038,290.462448337742,13.590669719794091
100093,Liberia,2008,123510,243.5416115416111,7.07804682145175
100094,Grecia,2008,66171,389.5229612366194,13.080266539734094
100095,Grecia,1996,107472,368.9160538370319,7.837645351724453
100096,Malta,2001,16114,277.26371845954907,7.153769924603241
100097,Singapur,1996,29856,209.2515298988076,14.572421678301646
100098,Singapur,2012,7256,240.5619681715408,15.616601980246172
100099,Grecia,2023,141834,265.16772872762317,15.985315926472902
100100,Grecia,1991,32389,281.81026183144843,5.9112031303518755
100101,Panamá,2005,8540,311.14065087334075,6.695027791099948
100102,Malta,1991,60487,277.8490101671501,16.710531776316866
100103,Singapur,2006,73903,361.3502547068623,10.062188019771927
100104,Singapur,2018,45256,130.0438213876192,14.448047070843561
100105,Grecia,2013,135302,384.44870776731807,9.384294850800838
100106,Singapur,2016,32729,158.0390714568538,7.720835176289539
100107,Liberia,2015,63584,184.21612246551842,17.325216444323193
100108,Grecia,1996,12073,352.2825734911101,7.80205679052145
100109,Singapur,1990,138956,223.94326984384585,13.079946965855818
100110,Liberia,2004,81933,279.00556103961435,9.36973739395612
100111,Grecia,1998,26823,277.17242487866076,17.052038625394495
100112,Panamá,2002,22882,139.58424108960128,15.597844769043753
100113,Singapur,2022,136285,220.317495656546,8.383997418917508
100114,Malta,2019,130163,373.25589547711826,10.338404047280802
100115,Liberia,2006,23801,117.4534246625641,12.021705444267758
100116,Grecia,2007,149094,311.22265817366394,5.5231693720939665
100117,Singapur,2005,25234,249.04763583195614,9.031038772777729
100118,Singapur,2011,82843,107.95264626620359,13.569010800794395
100119,Singapur,2000,7192,244.34034342435427,5.862535153482028
100120,Panamá,2004,125999,216.80905685840807,8.959674961082529
100121,Singapur,2016,147086,290.85998732701364,13.539685332976408
100122,Malta,1997,145330,160.964075215602,8.045090356896466
100123,Malta,1993,44207,208.25773060509283,7.962058838061426
100124,Panamá,2021,149021,278.79271106017,7.617004378617954
100125,Panamá,2009,14170,327.2491407089141,15.423562127202178
100126,Liberia,2019,87684,184.9381774656081,14.994618370085188
100127,Singapur,1996,20889,315.40960332822885,14.41122540517146
100128,Singapur,1994,114133,239.2899488995172,15.686229484579114
100129,Grecia,2007,40780,254.929077892747,6.695287673554015
100130,Liberia,2013,85423,262.51848806768345,13.794388192322591
100131,Panamá,2023,93106,151.9906326740494,11.347850607379641
100132,Grecia,1990,117134,184.80086747086833,9.021820147601478
100133,Panamá,2012,76427,337.13174695699536,9.924744641275844
100134,Malta,2017,97193,230.82178458267884,11.59734513135533
100135,Malta,2015,134863,207.83043338526917,10.325259119327052
100136,Panamá,1993,78066,128.7243441701814,6.952528390289305
100137,Malta,2023,101260,154.14062954951441,12.454334338593373
100138,Malta,2019,37629,264.38687521437004,5.606178723029383
100139,Grecia,2005,73014,244.22414078856076,8.05705962898503
100140,Panamá,2007,81819,393.1357800141852,14.991831090133504
100141,Grecia,2021,9769,154.1912672160962,8.815816775875561
100142,Liberia,2002,88869,164.9331635826116,17.198194272135158
100143,Malta,2006,101190,307.41706745160116,15.887527314335122
100144,Panamá,2003,121792,218.57137244619165,9.987470877543355
100145,Grecia,1990,127938,189.58026351318568,16.692930732808527
100146,Malta,2008,48889,116.68266661622685,7.215794787348725
100147,Liberia,2022,131703,294.7280519446933,7.579976753261193
100148,Singapur,2001,97261,358.5475099047227,15.892093134988116
100149,Liberia,1999,120417,394.10598576739324,15.707657740622944
100150,Liberia,2018,57564,236.6282470586436,14.71470806186572
100151,Malta,2016,35236,288.6708797678207,15.263801383003598
100152,Singapur,2022,145466,159.5122053610657,12.307187005152455
100153,Malta,2005,64366,329.35204513175745,5.999113858742163
100154,Panamá,2009,119521,194.0885174181652,16.624187293123878
100155,Malta,2003,86489,356.2390051129279,6.707032162045785
100156,Panamá,2003,32040,352.10443014783954,7.229451798432949
100157,Grecia,2003,52993,129.12647987711173,15.30538230243515
100158,Malta,2001,90624,291.52627001218644,5.665586350927278
100159,Liberia,2009,68452,350.8840502306066,11.382465293787293
100160,Malta,1995,57357,257.5544491436604,8.473409925560897
100161,Singapur,2019,143718,314.80378628333455,9.416868824802638
100162,Liberia,2006,68993,165.22996607363817,10.048707793729788
100163,Malta,2020,61359,287.668445305432,7.261400162774163
100164,Liberia,2010,95010,281.31035664537285,15.465257622951029
100165,Panamá,1995,84364,181.3910335805712,8.712588733033211
100166,Panamá,2000,71482,377.08805556325234,10.31445647956503
100167,Singapur,2021,134464,228.2556713247444,5.979055625036564
100168,Malta,2015,71933,311.6166998986344,6.267636442252193
100169,Liberia,1993,125432,125.96536831139872,12.750175689086804
100170,Panamá,1998,127656,100.90533298906246,10.507238780767466
100171,Singapur,1991,115780,383.86317790239735,11.359491414882873
100172,Singapur,2015,60691,314.92122193218455,12.78763588556657
100173,Liberia,2017,57909,145.6053699752235,16.094642566935857
100174,Panamá,2016,119843,265.1380731123742,8.07123295066082
100175,Singapur,1998,104243,130.49660390932482,5.562570934560567
100176,Grecia,2023,76180,333.44273781010827,11.457731672786002
100177,Liberia,2016,77026,211.78978174544986,12.405155179763723
100178,Malta,1994,108824,112.53350606670755,5.5694979606082855
100179,Grecia,1998,90083,108.04585473221016,6.71271709308977
100180,Liberia,1995,64369,172.96738364292543,16.39390477953058
100181,Singapur,2017,51090,156.30383420503813,5.172801255548338
100182,Singapur,1996,126897,398.72898454105587,15.356483259990586
100183,Malta,2008,88784,385.7177974434924,14.097999786895471
100184,Panamá,2017,55747,364.01669022376393,17.40777905691323
100185,Malta,2016,130249,215.12710473872676,7.962883376716375
100186,Panamá,2005,124451,105.07816088950501,7.830574766062282
100187,Grecia,2016,22715,216.1494880374762,11.948238893713917
100188,Grecia,2007,130686,329.7417474664836,11.296287553375347
100189,Singapur,1990,88284,130.71279042582387,13.551105907130328
100190,Malta,1998,75011,156.4661263245763,13.923368676704623
100191,Liberia,2002,107079,179.6924350484554,5.723652712550673
100192,Liberia,2007,59259,120.47564643807928,12.725016638424963
100193,Liberia,2005,121231,207.06140641296508,13.898011714432942
100194,Liberia,2009,147513,204.03171363665518,10.278334669682529
100195,Singapur,2021,6232,239.59268867724532,16.60446658357625
100196,Liberia,2023,44933,115.42962715038762,10.961847328987853
100197,Singapur,2023,43011,165.96972606873294,15.069557910150007
100198,Liberia,1990,145710,251.37190317914647,6.262993846785689
100199,Singapur,1990,73293,347.46390682900955,17.24974808921288
100200,Malta,2002,93034,126.99927395285712,11.300954057244068
100201,Grecia,2017,17318,129.9744507444975,7.450510246094186
100202,Singapur,1997,146336,123.0234384438131,6.393202463698036
100203,Singapur,1992,67079,247.97988472542443,11.460521637446927
100204,Grecia,1992,52656,154.39072370866853,7.489923037581345
100205,Singapur,1991,24687,211.15327014294704,8.09084916556025
100206,Malta,2022,31245,217.1034591252556,5.649622641372332
100207,Panamá,2023,70035,132.75016557108248,17.01918455463926
100208,Grecia,2016,131319,386.236622176986,10.147125732443945
100209,Singapur,2008,80606,285.15065987743145,15.453963722064222
100210,Malta,1996,104149,324.37583259072994,15.386023067364174
100211,Liberia,2023,60240,299.5175782819269,14.81472618202469
100212,Grecia,2022,106527,234.0261272480031,15.526824693119396
100213,Liberia,2023,111819,384.5227217876247,5.305514659264243
100214,Malta,2023,79912,200.8353089829058,14.272085129106534
100215,Grecia,2006,93487,383.4285982908492,15.332769186855334
100216,Singapur,1996,102170,287.95963343646457,10.000147253719357
100217,Panamá,2019,18447,232.50468878673604,11.697498562504526
100218,Panamá,2017,23826,303.0504100864514,15.649659867122466
100219,Singapur,2013,84101,349.44270904515395,17.017685352521877
100220,Malta,2007,27928,377.8773318240942,10.452118069339098
100221,Liberia,2010,145989,284.54255189520086,9.309769280644295
100222,Malta,1994,106697,303.4923129313683,7.51595176966023
100223,Grecia,2005,102643,385.9446666055811,7.957058808411379
100224,Panamá,2002,53993,254.27949809575315,9.130477251392465
100225,Panamá,2022,25812,363.06577710063476,5.359686344606677
100226,Singapur,2002,65428,261.63088408362626,15.798979436368128
100227,Grecia,1994,7263,350.61842431397736,16.278782348495064
100228,Grecia,2017,141220,276.09433049897973,6.380906823610826
100229,Panamá,1998,149803,170.92728229443549,15.72239757446184
100230,Liberia,2016,42263,157.91248337481488,13.046134261302987
100231,Grecia,2007,57480,195.27889058799772,8.786101964404391
100232,Malta,2004,72015,180.7340010726528,7.288214473944045
100233,Singapur,2009,105644,220.8465049156625,16.070356432751723
100234,Malta,1991,15834,308.970942031981,16.09984950560144
100235,Grecia,1999,101430,358.68392712639417,11.552470501392095
100236,Singapur,2003,24875,148.2312477379378,17.375951081739327
100237,Panamá,2005,36668,270.2447527296723,12.563738039319187
100238,Malta,2009,13367,298.5103208578899,11.14843359584509
100239,Malta,1997,27665,262.06927582085643,7.405646682948696
100240,Malta,2006,92904,119.91457100009397,7.067740184385447
100241,Malta,2018,7603,291.93921997188795,7.9088877971489495
100242,Singapur,2015,79719,197.84320615396234,16.806933744721057
100243,Liberia,2022,19605,171.1536240185587,8.052431911786057
100244,Singapur,1992,73790,233.35015342530207,16.794322443246458
100245,Grecia,1996,17130,314.15103288607025,14.835208935874409
100246,Liberia,2001,8827,264.4544192707931,11.703784827923284
100247,Malta,2009,148095,175.87539421549235,10.029570786680491
100248,Panamá,1999,104388,149.39036530809636,7.664650294489345
100249,Panamá,2017,105455,204.50295262945116,13.378991972383291
100250,Panamá,2006,52435,110.18635815020397,17.65483007093571
100251,Singapur,2004,19512,364.4030539876021,16.526371025856694
100252,Grecia,1997,53409,187.48674594227276,8.795540667039745
100253,Grecia,2008,25248,365.98423439443235,17.80110631092854
100254,Liberia,2009,46822,315.8745339290397,15.379840310607152
100255,Panamá,2008,37394,382.94825461495765,13.776650869865412
100256,Panamá,2009,133199,273.4389155616618,6.354956219708733
100257,Liberia,2005,62214,329.2970741360147,15.253786085126594
100258,Malta,1998,26896,151.86164028528376,6.402047875439697
100259,Panamá,2011,111549,300.7444620612333,11.479608790340787
100260,Malta,2004,63161,262.2403282791408,15.1429246133458
100261,Singapur,2017,133907,242.31482824483913,6.639206668191167
100262,Malta,1993,76922,168.52489624204998,16.667407206984358
100263,Liberia,2003,83336,306.46257457924605,16.8963773306046
100264,Malta,2014,65470,255.30082696280385,13.154399105725735
100265,Singapur,1998,117994,358.7376756224432,14.388872721409152
100266,Liberia,2007,136040,127.83139147842894,10.52085179092373
100267,Panamá,2017,132555,120.18645608096222,9.63671892490489
100268,Panamá,2018,94357,130.59558116438694,15.117936809017646
100269,Grecia,2019,49682,195.21035845856068,7.0861069906701415
100270,Grecia,2019,26735,342.5369576780445,12.348907050672251
100271,Panamá,2017,88058,268.43350713719417,11.516621285546002
100272,Singapur,2007,32307,282.2857716352902,14.685276438908947
100273,Singapur,2020,24042,265.65313908677115,16.033586444608154
100274,Panamá,2022,18313,277.1936878313092,13.38186451682957
100275,Singapur,1994,72623,104.20850452922193,17.127987864995784
100276,Liberia,2007,68891,311.5500377245833,10.641946295259753
100277,Malta,2023,141083,337.04762587115346,15.958176486573615
100278,Liberia,1996,24947,391.6927724289422,7.446304397571944
100279,Liberia,2011,68157,302.65238572484793,5.052212060965145
100280,Singapur,1995,26324,258.39676718720904,13.194667471528883
100281,Panamá,2001,115643,258.27483592563357,7.313343473285969
100282,Panamá,2020,40178,197.972166640289,17.7077058986259
100283,Panamá,2018,87823,241.8834622709496,5.827462194353717
100284,Malta,2006,79543,112.34905839346882,12.268456258775972
100285,Panamá,2006,20871,390.6074710617017,16.304313712693947
100286,Panamá,1997,20998,127.59850889278928,12.681656077620904
100287,Singapur,1999,127127,148.96027750201546,11.345307725605846
100288,Grecia,2003,117935,253.37051434508095,11.512727788269812
100289,Grecia,2009,135801,228.9973217268239,7.019905834702573
100290,Singapur,1997,115141,361.90190707358136,10.637443410958252
100291,Panamá,1991,77465,191.6438083124415,17.1651072221565
100292,Grecia,2004,91955,315.7823847164521,5.457157663267701
100293,Panamá,1995,51088,226.977012083029,13.464884909753573
100294,Liberia,2005,51489,214.60191517992524,13.435953199727786
100295,Malta,2004,134627,163.09182923978,17.034396259945165
100296,Panamá,2001,83848,344.0804833923913,6.4860442149200415
100297,Singapur,2018,47755,159.16208179250938,14.087049559661066
100298,Singapur,2006,123711,102.94482454915895,15.936749658075323
100299,Singapur,2012,56717,349.1011218417701,6.437740450769269
100300,Malta,1999,24970,163.46455596989017,8.563301832996789
100301,Panamá,2011,23586,145.17107457973714,12.354987564522105
100302,Grecia,2004,149742,159.6327576949271,5.094583143882916
100303,Liberia,2020,97357,381.4425874040743,6.3222037889957665
100304,Panamá,1992,9570,301.51696565749387,5.627567765560384
100305,Malta,1991,65112,307.1477085499954,5.034470450309049
100306,Panamá,1998,64721,145.74806676821024,12.526643741068375
100307,Liberia,2014,17755,284.2780074150498,11.736809148151071
100308,Malta,2021,124627,358.5019398495068,11.161173450173159
100309,Grecia,2014,92711,304.03317258079056,17.625669160496912
100310,Panamá,1992,67198,123.0608321466581,12.169115679799805
100311,Malta,1993,119390,229.93901546808314,17.362063642278304
100312,Panamá,2008,135224,313.438357561339,12.80074327555875
100313,Malta,2000,121462,127.86177747072969,13.274612273787477
100314,Liberia,1992,133271,207.9243238321169,6.4405133710000495
100315,Singapur,2014,63641,313.95350087659955,10.471630179442434
100316,Panamá,2012,73613,351.1940977221217,15.96436043278662
100317,Malta,1993,24054,291.34678358021483,16.009522278060647
100318,Malta,2021,144409,351.4038796151664,15.829928995534482
100319,Malta,1994,146221,296.2952927171991,13.125762837164402
100320,Liberia,2002,25290,379.64246521625006,10.97393358342887
100321,Singapur,2020,117639,104.08003434998747,14.171106913117919
100322,Panamá,1992,79912,204.8581255222011,9.630308644906176
100323,Malta,2013,41234,119.36107033210571,9.002226412971417
100324,Panamá,2014,46764,213.8599575632953,15.172447939066926
100325,Panamá,1998,75250,174.18577781959885,9.15863171131159
100326,Malta,2005,138659,173.75866200501048,7.153390565591333
100327,Grecia,2000,72156,186.51019170257914,17.681823273705326
100328,Singapur,2002,141451,186.7658592480948,11.730417925296432
100329,Malta,2018,63555,274.35843671246477,8.668173480769456
100330,Liberia,1992,116529,294.7876901527666,10.833606830200392
100331,Panamá,2020,84401,177.70878483962068,7.089182894069213
100332,Panamá,1996,75324,142.58936765095106,8.74578946594675
100333,Panamá,1994,136989,225.0325143226446,10.748231084977773
100334,Liberia,2012,52216,189.1654960631521,7.478690108411417
100335,Malta,2003,43011,375.77248794486803,14.007344185115302
100336,Singapur,1998,25803,339.4212367559067,6.817068519503231
100337,Malta,2016,129737,365.4891730150433,16.26915013499394
100338,Grecia,1995,21668,131.0416669864336,14.134487049520498
100339,Liberia,1990,90553,214.87900240246574,11.877167254421261
100340,Singapur,2021,42081,354.61625181134673,15.732538107561608
100341,Singapur,2023,47046,152.5628832235681,5.700356505082292
100342,Grecia,2003,54668,334.10828752351176,13.948785068324113
100343,Grecia,2008,121704,362.05212498502857,7.421654941369511
100344,Liberia,2001,132999,182.17630452544415,8.716800920551767
100345,Malta,2009,98183,390.13099282297486,10.178595282127347
100346,Panamá,2022,132291,350.9329456153113,11.867506891684922
100347,Panamá,2018,119934,150.48767756118477,14.840766600066651
100348,Singapur,2014,110102,272.1966741806455,7.810553307158225
100349,Grecia,2010,107723,168.9658599146832,12.495261904372363
100350,Singapur,2005,64281,238.6140583377916,8.473883445203334
100351,Liberia,2019,70105,252.98203383741534,6.9853770738146075
100352,Singapur,2018,22447,301.31804213746875,16.88176199950977
100353,Malta,2018,122447,284.4836206174296,11.105822881832998
100354,Malta,2010,99456,206.39943181805998,7.492155496082373
100355,Panamá,1996,44229,259.597217343741,15.720001435504917
100356,Liberia,1998,48850,123.43125995182086,9.143929370569312
100357,Grecia,1991,80913,267.9182012426133,6.6920008524218195
100358,Panamá,2022,141075,393.1423412079672,5.796936702005721
100359,Singapur,2010,147897,269.47055713814126,9.348026754604255
100360,Singapur,2010,21997,360.98121626927986,16.040449470575993
100361,Malta,2018,140485,360.82179707967896,10.612461758842084
100362,Singapur,1995,63522,386.59955501749175,7.263698313014181
100363,Grecia,1991,28970,120.596659591193,8.866710535644136
100364,Malta,2008,97807,292.4506832096601,6.565716727649576
100365,Panamá,2020,39573,375.4139674211473,13.82684348711051
100366,Grecia,2014,26326,337.0090825402903,7.30673305619017
100367,Malta,1991,35279,234.33392672058469,10.766276713370148
100368,Malta,1993,69874,180.84891806632666,5.455702055253751
100369,Singapur,2004,71026,203.7910794122872,13.516879385084078
100370,Panamá,2003,147309,136.7590257791154,8.897968806292226
100371,Liberia,2008,60046,163.02089429569483,7.348959905552838
100372,Malta,1993,73586,313.9660154496608,14.124367379499512
100373,Grecia,2006,104461,152.07235353068097,11.060291470423724
100374,Singapur,2019,27961,349.75496297732155,14.012246986446703
100375,Singapur,2006,124517,176.2857656527372,10.85125678562226
100376,Panamá,2021,84159,222.26668643884616,7.1137287517940475
100377,Grecia,2023,82452,189.89537078310104,12.649366355628802
100378,Singapur,2004,125368,198.1305317160161,16.532162564996632
100379,Grecia,2006,33076,343.4238404684899,15.289118672324731
100380,Singapur,2020,15880,316.5825359497598,10.30813733613265
100381,Liberia,2001,52097,216.04538488652074,15.965426619236565
100382,Grecia,2022,25031,207.88988777076617,5.440441113170986
100383,Grecia,2003,133879,301.32059543460446,14.98008023610508
100384,Malta,2007,14133,307.20177206299655,14.075642296805762
100385,Grecia,2004,42855,113.82812462239487,14.405866549258866
100386,Singapur,1997,109251,164.7292245153437,6.7948209286625705
100387,Malta,2012,148850,274.6610186107232,5.1100640813581
100388,Malta,1993,134719,276.38492432340496,9.087447254761072
100389,Grecia,2021,119057,158.0984285503263,9.01110490843169
100390,Malta,2017,68862,119.79455343027846,12.693771033983529
100391,Grecia,2007,132323,393.9253066084118,9.274570355927615
100392,Grecia,1991,141456,138.0226047812245,7.276149653747499
100393,Malta,2013,120039,361.6544725749566,17.408653668555853
100394,Singapur,2003,131630,204.92597787157766,13.52595436409339
100395,Malta,2020,44015,355.78076824949096,9.235555126277989
100396,Panamá,1990,120273,287.65531118011654,12.564703083876845
100397,Grecia,2016,52049,114.839894362241,12.173506231702255
100398,Liberia,2010,121864,373.4724365873262,15.438997766544766
100399,Liberia,1994,140404,331.15260990398804,14.719579590177556
100400,Liberia,2007,11483,239.23603966097215,7.752262202538018
100401,Liberia,2007,44740,278.34517180904396,11.410001265821611
100402,Grecia,1996,64975,198.54088919664778,9.667559069439672
100403,Grecia,2008,74067,143.7202469540258,7.58929100344579
100404,Malta,2016,142505,117.28176792487066,15.720082246285708
100405,Malta,1992,18153,262.24027181997565,5.562856663663098
100406,Liberia,2005,22696,153.8711563417481,7.996459259771176
100407,Grecia,1998,44575,206.4356302923762,15.973976811741275
100408,Malta,2013,147230,190.6816633513053,14.19409432836765
100409,Malta,2018,12577,212.51040682295968,10.649207613877204
100410,Malta,2004,137212,151.02677914921443,8.077872356160082
100411,Grecia,1998,103286,334.96265750417956,9.393250339737456
100412,Panamá,2006,106106,320.19037095645217,14.373299035394872
100413,Liberia,2018,130501,345.635728968439,14.277877165071766
100414,Malta,2015,147861,246.1840181784553,9.21058829028646
100415,Malta,2019,139649,311.11131842844986,15.462272871143755
100416,Liberia,2016,34783,140.36073198016962,14.684023873984176
100417,Grecia,2023,72352,277.0351747394918,10.298255508420851
100418,Singapur,2003,119290,380.2414731133677,14.771500063976825
100419,Liberia,1994,11244,192.0205215474692,6.1631250547289484
100420,Liberia,1993,50028,283.8639317824859,10.172301839605165
100421,Singapur,2022,124769,166.19883167476257,14.44090852634092
100422,Singapur,2023,113474,189.58688424356157,9.216359954630803
100423,Liberia,2019,130840,385.9663339129581,6.241563530047545
100424,Malta,2012,58679,126.77395960178434,7.123797110270634
100425,Singapur,2004,91592,331.2732428554369,12.762219509971215
100426,Panamá,1995,131252,362.42214145914784,17.911132607661365
100427,Panamá,2019,20553,279.59546555677167,17.119927830344118
100428,Liberia,2002,45133,105.07778502854019,9.956401631428706
100429,Malta,1995,70854,327.53704864478595,7.467526042376111
100430,Singapur,2007,78240,219.76420950526932,14.46452137966659
100431,Liberia,2014,68624,330.19274176052306,16.13766902154877
100432,Singapur,1993,106043,138.46950401966785,16.4533485819762
100433,Panamá,2013,85790,285.609444402346,8.36951836189067
100434,Malta,2014,32019,211.88125756057684,11.753806636966543
100435,Panamá,2011,84246,104.01470627762444,6.924680865902204
100436,Grecia,1990,134941,259.33610836390073,5.0291489148394355
100437,Panamá,1993,22945,277.8026822129371,6.6708151176804344
100438,Singapur,2016,97134,377.805495157732,15.695481804652633
100439,Grecia,2022,48799,376.80342576738116,11.449510343226967
100440,Panamá,1996,28812,309.7560853854584,8.343790931317258
100441,Grecia,1995,80998,213.52431429692044,17.90626049097959
100442,Panamá,2002,51508,108.78519488826646,9.235760874700786
100443,Malta,2019,60982,314.92135504388006,11.930951263997931
100444,Panamá,2003,95082,219.5490896241037,12.727879419082042
100445,Panamá,2009,137028,192.57721418078694,7.475076199140666
100446,Panamá,2002,97690,202.38508386954592,7.49644660846913
100447,Malta,1991,105839,123.56944767158676,17.427237913859894
100448,Malta,2019,35744,157.1373958518273,11.425721503415206
100449,Panamá,2016,134132,313.2351513931625,8.965919892830598
100450,Singapur,1996,48011,204.83637763834957,6.960955751840816
100451,Malta,2011,78502,115.9546229506082,5.5236199355891795
100452,Grecia,2005,16054,188.90929499753057,17.244189591812074
100453,Grecia,2009,78560,365.7507025705336,8.031930625960959
100454,Singapur,2010,81691,368.7784023595821,10.987042865128736
100455,Panamá,2002,26814,326.4110390708425,5.476183720878321
100456,Malta,2007,52210,126.24999084280694,15.339811085687613
100457,Singapur,2013,29022,376.50664773808154,8.673655038949747
100458,Panamá,2005,114501,366.7974251746705,17.443316927966887
100459,Liberia,2020,46090,141.8581135020801,15.614045066179893
100460,Grecia,2018,46986,224.74496330027435,16.038375569174345
100461,Singapur,1990,93160,254.62227866811241,7.669080056583764
100462,Malta,2023,70858,100.45229570494816,7.484603810723599
100463,Liberia,2018,52588,187.734338124858,12.938039195451251
100464,Liberia,2004,11431,183.125329732208,6.576818968667279
100465,Liberia,1990,16144,260.43470811426386,17.484314136538977
100466,Panamá,2013,71628,102.1164461328965,6.242971456443752
100467,Grecia,2007,92087,234.79753837625128,14.11730742421798
