fecha,nombre_buque,bandera,tipo_buque,muelle,operacion,teu_cargados,tiempo_estadia_h,costo_usd
2018-01-02 18:00:00,MV-8041,Singapur,Granelero,Muelle 4,Descarga,352,36.517604785555115,27969.67695074847
2018-01-02 19:00:00,MV-7235,Singapur,RoRo,Muelle 3,Descarga,5663,74.05652852421929,22849.896742595436
2018-01-02 20:00:00,MV-6486,Islas Marshall,Portacontenedores,Muelle 1,Carga,805,88.31859698404735,24035.229255334587
2018-01-02 21:00:00,MV-8099,Islas Marshall,Granelero,Muelle 1,Mixta,4309,60.07201643076294,20247.722831004197
2018-01-02 22:00:00,MV-1775,Liberia,Buque Frigorífico,Muelle 5,Reparación,5813,27.149819514960804,21983.243999362705
2018-01-02 23:00:00,MV-9226,Islas Marshall,Buque Frigorífico,Muelle 2,Descarga,1276,27.360013262844888,20047.78158446914
2018-01-03 00:00:00,MV-4152,Islas Marshall,Buque Frigorífico,Muelle 2,Tránsito,1283,61.14070645069097,12105.890813836171
2018-01-03 01:00:00,MV-2585,Islas Marshall,Tanquero,Muelle 3,Tránsito,3567,43.79503020180822,13117.929145988977
2018-01-03 02:00:00,MV-4943,Singapur,Tanquero,Muelle Norte,Tránsito,947,23.59925829227951,18943.079527210175
2018-01-03 03:00:00,MV-8555,Liberia,Portacontenedores,Muelle 1,Carga,4928,77.2909394912874,22724.60011226522
2018-01-03 04:00:00,MV-4073,Singapur,RoRo,Muelle 5,Tránsito,5730,25.62138721210829,14559.095195110182
2018-01-03 05:00:00,MV-2021,Malta,Carga General,Muelle 1,Carga,3360,36.30439344905907,7709.362821495619
2018-01-03 06:00:00,MV-4843,Singapur,Portacontenedores,Muelle 4,Reparación,4872,13.405790612473174,15944.846377167774
2018-01-03 07:00:00,MV-8989,Malta,Carga General,Muelle 3,Tránsito,3412,69.72074595303425,29042.88333391145
2018-01-03 08:00:00,MV-7873,Panamá,Portacontenedores,Muelle Norte,Mixta,2469,32.22445762898895,9566.25856585173
2018-01-03 09:00:00,MV-6675,Panamá,Tanquero,Muelle 2,Descarga,2959,28.49229268665402,20875.796260980645
2018-01-03 10:00:00,MV-1161,Malta,Buque Frigorífico,Muelle 1,Reparación,1504,34.695529169958306,29546.08675225526
2018-01-03 11:00:00,MV-5297,Malta,RoRo,Muelle Norte,Mixta,2377,84.9234869015983,13782.180705976372
2018-01-03 12:00:00,MV-1995,Singapur,Tanquero,Muelle 3,Reparación,2413,53.5856342016091,27084.973829881666
2018-01-03 13:00:00,MV-8629,Malta,RoRo,Muelle 2,Tránsito,2062,21.8938562283133,26464.226646576553
2018-01-03 14:00:00,MV-2016,Liberia,Carga General,Muelle 1,Reparación,1150,76.15431808105173,12815.168934655294
2018-01-03 15:00:00,MV-8869,Panamá,Portacontenedores,Muelle 5,Reparación,865,26.343885615394708,6561.450453010122
2018-01-03 16:00:00,MV-7439,Panamá,Granelero,Muelle 3,Reparación,4296,44.29790104068246,8642.018018736411
2018-01-03 17:00:00,MV-8892,Malta,Granelero,Muelle 1,Carga,5154,57.99067209381184,13509.478630637843
2018-01-03 18:00:00,MV-7863,Islas Marshall,RoRo,Muelle 2,Mixta,5665,59.43097649621448,28937.492032577098
2018-01-03 19:00:00,MV-8916,Islas Marshall,Buque Frigorífico,Muelle 2,Tránsito,1370,14.07482625263988,11135.703771250524
2018-01-03 20:00:00,MV-9529,Malta,Buque Frigorífico,Muelle 5,Descarga,4814,81.63879526986776,28098.483394106308
2018-01-03 21:00:00,MV-1878,Liberia,RoRo,Muelle 3,Tránsito,4552,50.189906874531864,8715.481826044977
2018-01-03 22:00:00,MV-5887,Islas Marshall,Tanquero,Muelle 3,Tránsito,2384,95.05494157517455,29215.123067971243
2018-01-03 23:00:00,MV-5859,Malta,Granelero,Muelle Norte,Carga,4637,71.1349318993881,11633.717920347926
2018-01-04 00:00:00,MV-7331,Liberia,Tanquero,Muelle 1,Carga,1082,95.3460635769848,20460.398849471345
2018-01-04 01:00:00,MV-9571,Liberia,Carga General,Muelle Norte,Reparación,1205,47.90582182972964,5811.971836233858
2018-01-04 02:00:00,MV-9684,Singapur,Granelero,Muelle 2,Tránsito,1150,20.388763837179663,11791.268450870186
2018-01-04 03:00:00,MV-8208,Liberia,Carga General,Muelle 2,Mixta,2835,72.00322517860893,9478.47056583798
2018-01-04 04:00:00,MV-6276,Islas Marshall,Portacontenedores,Muelle 5,Carga,1046,76.44290485851424,4088.833385781198
2018-01-04 05:00:00,MV-3062,Islas Marshall,Tanquero,Muelle 5,Carga,1485,83.04950357365962,8076.014480650429
2018-01-04 06:00:00,MV-1064,Malta,RoRo,Muelle 3,Mixta,5259,34.52751425335534,19420.694895766963
2018-01-04 07:00:00,MV-9006,Malta,Granelero,Muelle Norte,Carga,2595,52.940190602148775,14137.92450332113
2018-01-04 08:00:00,MV-3568,Liberia,Tanquero,Muelle 2,Mixta,3750,83.46049045571502,22786.845515657307
2018-01-04 09:00:00,MV-6463,Panamá,RoRo,Muelle 1,Descarga,5034,84.09678882184713,21447.939607982185
2018-01-04 10:00:00,MV-3027,Singapur,Portacontenedores,Muelle 4,Mixta,403,10.260178188940401,24781.787234205887
2018-01-04 11:00:00,MV-3695,Panamá,Granelero,Muelle 1,Descarga,2368,67.04067699670725,26542.65059884836
2018-01-04 12:00:00,MV-6258,Liberia,Carga General,Muelle 5,Reparación,5561,60.948486762228804,25315.463081215206
2018-01-04 13:00:00,MV-6618,Liberia,Portacontenedores,Muelle 1,Reparación,4577,15.333724407786114,15649.581832678003
2018-01-04 14:00:00,MV-7736,Panamá,Buque Frigorífico,Muelle 2,Carga,788,89.85197499705244,12026.9209895032
2018-01-04 15:00:00,MV-1391,Singapur,RoRo,Muelle Norte,Mixta,2569,47.192761858146206,17059.864037180265
2018-01-04 16:00:00,MV-6892,Panamá,Granelero,Muelle 3,Carga,5925,67.33467849121166,17913.34117258909
2018-01-04 17:00:00,MV-4561,Malta,Granelero,Muelle Norte,Mixta,5477,85.68620600427418,12142.537440489115
2018-01-04 18:00:00,MV-7184,Islas Marshall,Portacontenedores,Muelle 4,Carga,4653,19.450654236021883,18040.170173633975
2018-01-04 19:00:00,MV-4099,Malta,Granelero,Muelle 3,Reparación,104,83.3141966284166,6750.270956280421
2018-01-04 20:00:00,MV-7278,Islas Marshall,RoRo,Muelle 4,Reparación,2134,71.7388954163418,10007.086670397488
2018-01-04 21:00:00,MV-9392,Liberia,Portacontenedores,Muelle 4,Carga,949,81.88412433223003,23397.250259154443
2018-01-04 22:00:00,MV-4104,Singapur,Carga General,Muelle 2,Mixta,2152,51.54554205530061,8753.63793641724
2018-01-04 23:00:00,MV-8215,Panamá,Portacontenedores,Muelle 2,Tránsito,573,10.94666711132152,7614.9840543284035
2018-01-05 00:00:00,MV-3454,Singapur,Portacontenedores,Muelle 5,Mixta,512,67.0053942465356,11470.92297433985
2018-01-05 01:00:00,MV-9996,Panamá,Carga General,Muelle 5,Carga,4842,40.95885370097537,13647.27703579258
2018-01-05 02:00:00,MV-3731,Malta,Buque Frigorífico,Muelle 4,Mixta,1551,43.41259342393377,12542.2657956536
2018-01-05 03:00:00,MV-9154,Malta,RoRo,Muelle Norte,Descarga,5918,46.83107373256149,13739.740006474523
2018-01-05 04:00:00,MV-6056,Panamá,Buque Frigorífico,Muelle 5,Mixta,3926,51.37604794879996,7637.720915337817
2018-01-05 05:00:00,MV-9110,Singapur,Buque Frigorífico,Muelle 2,Reparación,765,66.25021246580245,8300.274107331461
2018-01-05 06:00:00,MV-4840,Panamá,Buque Frigorífico,Muelle 5,Reparación,5380,71.95625951016495,10131.709469536936
2018-01-05 07:00:00,MV-2028,Liberia,Tanquero,Muelle 4,Descarga,3347,76.36212119982304,14451.792453786122
2018-01-05 08:00:00,MV-8385,Malta,Buque Frigorífico,Muelle 3,Mixta,2829,67.1013448169295,12733.376642079353
2018-01-05 09:00:00,MV-1502,Liberia,Tanquero,Muelle Norte,Tránsito,5992,78.70618895302543,24574.708217091847
2018-01-05 10:00:00,MV-7910,Malta,Carga General,Muelle Norte,Mixta,3661,18.7491302943729,17663.465744839974
2018-01-05 11:00:00,MV-7938,Malta,RoRo,Muelle 1,Reparación,1038,81.63995462540989,18968.22670319952
2018-01-05 12:00:00,MV-5488,Islas Marshall,Buque Frigorífico,Muelle 5,Reparación,1878,42.08055967003249,18575.416294501403
2018-01-05 13:00:00,MV-1206,Liberia,Granelero,Muelle Norte,Carga,261,54.53234746723026,14368.15152261971
2018-01-05 14:00:00,MV-6134,Liberia,Carga General,Muelle 2,Reparación,3196,46.17258724354996,29492.56576844727
2018-01-05 15:00:00,MV-6977,Islas Marshall,Tanquero,Muelle 3,Carga,803,49.86311398792208,4970.548205782852
2018-01-05 16:00:00,MV-8721,Singapur,RoRo,Muelle 2,Reparación,3800,33.117636290953655,9611.782230854216
2018-01-05 17:00:00,MV-8035,Liberia,Portacontenedores,Muelle 5,Reparación,3739,22.9556801503712,11401.022165031904
2018-01-05 18:00:00,MV-2484,Panamá,RoRo,Muelle 4,Tránsito,3272,17.230736507807926,26913.74973345926
2018-01-05 19:00:00,MV-8858,Islas Marshall,RoRo,Muelle 1,Carga,485,47.72309783798993,27890.597530908028
2018-01-05 20:00:00,MV-1863,Liberia,Buque Frigorífico,Muelle 1,Carga,1951,19.022967696570603,25998.6993151743
2018-01-05 21:00:00,MV-3790,Singapur,Buque Frigorífico,Muelle 3,Reparación,4229,29.558985584218757,14840.725507915917
2018-01-05 22:00:00,MV-8408,Liberia,Tanquero,Muelle Norte,Carga,1285,19.75819793510253,27780.2211332446
2018-01-05 23:00:00,MV-9755,Malta,Tanquero,Muelle Norte,Reparación,828,17.60266837862551,6561.210501769239
2018-01-06 00:00:00,MV-6116,Panamá,Buque Frigorífico,Muelle Norte,Reparación,4979,85.65658101060211,20963.30220733993
2018-01-06 01:00:00,MV-7019,Islas Marshall,Buque Frigorífico,Muelle 1,Mixta,3902,67.31428386476422,28367.818217119642
2018-01-06 02:00:00,MV-2757,Malta,Granelero,Muelle 4,Carga,2010,89.29080184446477,23627.395841874637
2018-01-06 03:00:00,MV-8574,Singapur,Granelero,Muelle Norte,Descarga,4322,64.67306992449618,11224.546383658142
2018-01-06 04:00:00,MV-7374,Malta,Carga General,Muelle 2,Carga,1856,82.26769011497856,22655.151261967592
2018-01-06 05:00:00,MV-7892,Malta,Buque Frigorífico,Muelle Norte,Carga,5863,56.866275855728304,11663.847608629256
2018-01-06 06:00:00,MV-2678,Singapur,Portacontenedores,Muelle 4,Tránsito,3280,48.71144445941979,6901.134969461873
2018-01-06 07:00:00,MV-4242,Malta,Granelero,Muelle 3,Descarga,1774,54.506011288298936,22647.75987967773
2018-01-06 08:00:00,MV-5636,Islas Marshall,Tanquero,Muelle 3,Descarga,235,36.17984351395619,8659.892736562611
2018-01-06 09:00:00,MV-2059,Liberia,RoRo,Muelle 1,Tránsito,1544,65.90157040745363,6887.688409207978
2018-01-06 10:00:00,MV-7668,Malta,Carga General,Muelle 4,Tránsito,2029,86.95139134701984,18345.761420860636
2018-01-06 11:00:00,MV-4157,Islas Marshall,Granelero,Muelle 2,Carga,5478,76.84710329092555,20136.25673220218
2018-01-06 12:00:00,MV-6915,Liberia,RoRo,Muelle 4,Mixta,4103,48.656000944881114,5327.46339586706
2018-01-06 13:00:00,MV-3693,Liberia,RoRo,Muelle 2,Tránsito,295,91.94487955277432,4116.191087977554
2018-01-06 14:00:00,MV-4627,Malta,Granelero,Muelle 2,Descarga,5998,94.71723228239365,26933.828590221947
2018-01-06 15:00:00,MV-6450,Islas Marshall,Portacontenedores,Muelle 4,Descarga,4097,51.39285365625763,6996.566585039116
2018-01-06 16:00:00,MV-2663,Malta,Portacontenedores,Muelle 5,Carga,433,84.08830603552475,19181.34937279104
2018-01-06 17:00:00,MV-6592,Singapur,Carga General,Muelle 4,Mixta,334,8.41978254367499,28792.202432943173
2018-01-06 18:00:00,MV-8392,Liberia,Portacontenedores,Muelle 2,Reparación,5133,13.865692073707265,17309.66301367092
2018-01-06 19:00:00,MV-2306,Malta,Carga General,Muelle Norte,Tránsito,4044,9.970267985732459,7634.748238620469
2018-01-06 20:00:00,MV-7776,Liberia,Tanquero,Muelle 3,Tránsito,349,76.03834376659067,14230.597083774988
2018-01-06 21:00:00,MV-6864,Islas Marshall,Granelero,Muelle 3,Carga,950,15.020561807004672,20225.09584395655
2018-01-06 22:00:00,MV-8526,Panamá,RoRo,Muelle 1,Mixta,1509,9.500448053647712,23833.830563799344
2018-01-06 23:00:00,MV-9901,Malta,Carga General,Muelle 3,Descarga,5538,20.97285205526284,19780.38785883379
2018-01-07 00:00:00,MV-6575,Malta,Portacontenedores,Muelle 5,Descarga,2971,34.95394163427184,4892.209097044145
2018-01-07 01:00:00,MV-6530,Liberia,Carga General,Muelle 2,Reparación,2583,48.89366000697621,7720.6744968885205
2018-01-07 02:00:00,MV-5413,Islas Marshall,Buque Frigorífico,Muelle 4,Descarga,855,13.755489055018305,13666.843908669833
2018-01-07 03:00:00,MV-4748,Singapur,Carga General,Muelle 4,Tránsito,2278,51.91043655248127,22348.555818475448
2018-01-07 04:00:00,MV-1663,Islas Marshall,Portacontenedores,Muelle 5,Reparación,1971,29.82940857192483,19192.527348627318
2018-01-07 05:00:00,MV-2998,Malta,Buque Frigorífico,Muelle 3,Mixta,5022,32.14469156859076,5162.069573523327
2018-01-07 06:00:00,MV-8994,Singapur,Buque Frigorífico,Muelle 2,Reparación,4839,80.32739814501194,24719.033597701095
2018-01-07 07:00:00,MV-2495,Islas Marshall,Portacontenedores,Muelle 3,Mixta,2437,94.84927469260577,19733.23521524987
2018-01-07 08:00:00,MV-4304,Panamá,Buque Frigorífico,Muelle 1,Descarga,2588,48.82003457502235,27065.900923023957
2018-01-07 09:00:00,MV-4763,Liberia,Granelero,Muelle 3,Carga,2046,36.31582117359569,14858.980567892038
2018-01-07 10:00:00,MV-6232,Islas Marshall,RoRo,Muelle 1,Reparación,4875,89.96743950204205,16745.246301776235
2018-01-07 11:00:00,MV-2853,Islas Marshall,Granelero,Muelle 4,Reparación,5332,52.03946328903585,14544.320010520663
2018-01-07 12:00:00,MV-7585,Panamá,Granelero,Muelle 2,Tránsito,5727,72.27111426390347,22783.81776723446
2018-01-07 13:00:00,MV-2291,Malta,Portacontenedores,Muelle Norte,Tránsito,2553,44.40912272446977,23555.40225240075
2018-01-07 14:00:00,MV-4581,Liberia,Portacontenedores,Muelle 1,Mixta,154,25.824274833918032,22804.30224524564
2018-01-07 15:00:00,MV-8554,Islas Marshall,RoRo,Muelle 3,Carga,488,65.62988990595106,11581.581796212775
2018-01-07 16:00:00,MV-8280,Singapur,Carga General,Muelle 3,Tránsito,1571,66.50615315923135,20536.81996312198
2018-01-07 17:00:00,MV-2636,Islas Marshall,Granelero,Muelle 4,Tránsito,1401,48.49617880694766,12801.732319739946
2018-01-07 18:00:00,MV-4696,Liberia,Buque Frigorífico,Muelle 5,Descarga,2748,31.7555678871136,25689.210708473984
2018-01-07 19:00:00,MV-1698,Islas Marshall,RoRo,Muelle Norte,Descarga,3662,81.19958730152189,5433.020219573084
2018-01-07 20:00:00,MV-5737,Panamá,Granelero,Muelle 5,Tránsito,558,32.2279949459308,4980.739570003507
2018-01-07 21:00:00,MV-1854,Islas Marshall,Carga General,Muelle 3,Mixta,4396,65.99411079147771,6644.41903810742
2018-01-07 22:00:00,MV-9164,Islas Marshall,Buque Frigorífico,Muelle 5,Carga,5360,41.79073490255731,9261.443056042934
2018-01-07 23:00:00,MV-6855,Singapur,Granelero,Muelle Norte,Tránsito,5024,49.57829965852019,4978.519336208284
2018-01-08 00:00:00,MV-8392,Panamá,Tanquero,Muelle Norte,Mixta,1324,26.60343421204154,5862.033919495022
2018-01-08 01:00:00,MV-7528,Panamá,RoRo,Muelle 2,Mixta,5163,65.15423520218414,11957.468811100829
2018-01-08 02:00:00,MV-6249,Islas Marshall,Portacontenedores,Muelle 5,Tránsito,2872,27.872673358488267,6594.5577264166495
2018-01-08 03:00:00,MV-6172,Singapur,Granelero,Muelle 2,Mixta,113,50.74283610147,24853.918193544567
2018-01-08 04:00:00,MV-2707,Islas Marshall,Buque Frigorífico,Muelle 3,Reparación,3971,36.90442659688379,5400.552112976398
2018-01-08 05:00:00,MV-6791,Islas Marshall,Buque Frigorífico,Muelle 3,Mixta,4465,92.7973044850467,27606.165619021336
2018-01-08 06:00:00,MV-6535,Liberia,RoRo,Muelle 3,Tránsito,909,94.43545643863217,26641.828142465325
2018-01-08 07:00:00,MV-5931,Liberia,RoRo,Muelle 4,Mixta,2877,74.30723504574783,9417.99351289664
2018-01-08 08:00:00,MV-4510,Singapur,Buque Frigorífico,Muelle 5,Tránsito,1597,94.58473954721997,5859.703371999385
2018-01-08 09:00:00,MV-1202,Malta,Buque Frigorífico,Muelle 1,Descarga,2126,17.99245656708095,6743.911174048801
2018-01-08 10:00:00,MV-5218,Liberia,Buque Frigorífico,Muelle Norte,Tránsito,5820,95.32456955318354,18536.29415327162
2018-01-08 11:00:00,MV-9958,Malta,Granelero,Muelle 1,Mixta,486,17.112920640634286,19623.809239606835
2018-01-08 12:00:00,MV-5389,Panamá,Buque Frigorífico,Muelle 3,Tránsito,5766,44.55975608375971,12205.152437970864
2018-01-08 13:00:00,MV-3327,Liberia,Portacontenedores,Muelle 5,Carga,3707,29.02738617359192,11717.675375716817
2018-01-08 14:00:00,MV-9004,Liberia,Buque Frigorífico,Muelle 2,Tránsito,812,91.93844477965683,17819.032980646014
2018-01-08 15:00:00,MV-3931,Singapur,Portacontenedores,Muelle 1,Tránsito,785,63.94951426232445,11946.329145746924
2018-01-08 16:00:00,MV-8777,Malta,Granelero,Muelle 3,Carga,3714,60.547222976462876,28292.306859304044
2018-01-08 17:00:00,MV-1197,Liberia,RoRo,Muelle 1,Carga,4144,95.77458843008475,13948.42625148033
2018-01-08 18:00:00,MV-8125,Liberia,Portacontenedores,Muelle 1,Carga,4778,61.893497142386344,9715.157468137777
2018-01-08 19:00:00,MV-2930,Singapur,Granelero,Muelle Norte,Reparación,1628,64.86206952237097,7795.086009961464
2018-01-08 20:00:00,MV-7287,Singapur,Buque Frigorífico,Muelle 1,Tránsito,3779,11.940138338114794,20424.413028211613
2018-01-08 21:00:00,MV-9800,Malta,Granelero,Muelle 3,Carga,1126,83.59645297895129,12493.202015080013
2018-01-08 22:00:00,MV-5282,Panamá,Buque Frigorífico,Muelle Norte,Carga,2330,93.36786999330691,8908.665647204141
2018-01-08 23:00:00,MV-3511,Panamá,Granelero,Muelle 3,Descarga,1880,92.50738124608442,11171.203640509824
2018-01-09 00:00:00,MV-1659,Islas Marshall,RoRo,Muelle 4,Reparación,1948,27.457293639350056,12004.92089957178
2018-01-09 01:00:00,MV-3811,Liberia,Portacontenedores,Muelle 4,Tránsito,4345,27.880550269374,20271.670244971927
2018-01-09 02:00:00,MV-8098,Malta,RoRo,Muelle 4,Mixta,723,40.21214701875968,8541.719006630792
2018-01-09 03:00:00,MV-7546,Liberia,Tanquero,Muelle 1,Reparación,598,35.29848624074589,23052.897893008783
2018-01-09 04:00:00,MV-2986,Malta,Buque Frigorífico,Muelle 5,Reparación,986,34.89408897097961,11926.938970062321
2018-01-09 05:00:00,MV-9338,Malta,Portacontenedores,Muelle 3,Descarga,4194,61.25907110788803,16696.049356426283
2018-01-09 06:00:00,MV-3911,Malta,RoRo,Muelle 4,Tránsito,945,78.89350460165159,21025.814256544636
2018-01-09 07:00:00,MV-2734,Liberia,Portacontenedores,Muelle 5,Tránsito,2619,90.43559813936481,18134.122787064014
2018-01-09 08:00:00,MV-2843,Singapur,Tanquero,Muelle 4,Carga,2137,13.971722114805246,21218.07209082928
2018-01-09 09:00:00,MV-9680,Liberia,Carga General,Muelle 4,Carga,963,32.46210592180213,12387.483099710327
2018-01-09 10:00:00,MV-3976,Malta,Buque Frigorífico,Muelle 5,Reparación,1226,30.441212062980036,29049.697900890005
2018-01-09 11:00:00,MV-2959,Islas Marshall,Buque Frigorífico,Muelle 4,Descarga,4821,39.45469039449767,15933.732761832294
2018-01-09 12:00:00,MV-6759,Panamá,Granelero,Muelle 1,Tránsito,4915,45.34141515408225,12370.273854758
2018-01-09 13:00:00,MV-7694,Malta,Buque Frigorífico,Muelle 1,Descarga,4356,42.24708950986591,11706.242992177758
2018-01-09 14:00:00,MV-3385,Islas Marshall,Buque Frigorífico,Muelle Norte,Mixta,3323,91.7889544255456,5110.069211072853
2018-01-09 15:00:00,MV-5736,Singapur,RoRo,Muelle 1,Tránsito,4292,46.46735693542595,21804.952594582788
2018-01-09 16:00:00,MV-2802,Malta,Buque Frigorífico,Muelle 2,Carga,1572,56.5401462554675,10825.397205743233
2018-01-09 17:00:00,MV-9155,Islas Marshall,Buque Frigorífico,Muelle Norte,Reparación,2852,73.87972868275978,28932.185364386994
2018-01-09 18:00:00,MV-9120,Malta,Tanquero,Muelle 4,Descarga,3172,71.80746213481389,9471.563379796584
2018-01-09 19:00:00,MV-7616,Liberia,Tanquero,Muelle 2,Carga,4640,59.30088186912205,17766.77103581964
2018-01-09 20:00:00,MV-6534,Islas Marshall,Portacontenedores,Muelle 3,Reparación,2506,83.75321806792871,23122.23819569503
2018-01-09 21:00:00,MV-5061,Liberia,Portacontenedores,Muelle 5,Carga,1699,62.92795518679284,26622.997665346193
2018-01-09 22:00:00,MV-1262,Liberia,Buque Frigorífico,Muelle 3,Tránsito,2370,84.97877857019675,8067.983213377886
2018-01-09 23:00:00,MV-7287,Islas Marshall,Buque Frigorífico,Muelle 2,Descarga,2555,34.64338605126033,29620.440052922862
2018-01-10 00:00:00,MV-9815,Panamá,Granelero,Muelle 1,Mixta,1193,19.618083568373535,27575.47361825973
2018-01-10 01:00:00,MV-3049,Islas Marshall,Portacontenedores,Muelle 4,Carga,3822,80.11780017633569,29034.09392191584
2018-01-10 02:00:00,MV-6423,Panamá,RoRo,Muelle Norte,Descarga,95,41.66157590179203,26169.43974808263
2018-01-10 03:00:00,MV-5548,Malta,Buque Frigorífico,Muelle 4,Tránsito,3364,65.29544230442914,26819.39992887268
2018-01-10 04:00:00,MV-4108,Malta,RoRo,Muelle 1,Carga,4456,72.88338528932421,19569.551813742237
2018-01-10 05:00:00,MV-8158,Islas Marshall,Buque Frigorífico,Muelle 4,Tránsito,2659,36.75052183759791,25978.06164105194
2018-01-10 06:00:00,MV-8400,Malta,RoRo,Muelle 5,Mixta,4476,52.45437819416344,17884.347304445724
